source_id,currency,region,rate,age_minutes
ecb,EUR,EU,0.929535,60
frankfurter,EUR,EU,0.93,60
stooq_fx,EUR,PL,0.930465,60
ecb,JPY,EU,154.9225,60
frankfurter,JPY,EU,155.0,60
stooq_fx,JPY,PL,155.0775,60
ecb,GBP,EU,0.789605,60
frankfurter,GBP,EU,0.79,60
stooq_fx,GBP,PL,0.790395,60
ecb,CNY,EU,7.146425,60
frankfurter,CNY,EU,7.15,60
stooq_fx,CNY,PL,7.153575,60
ecb,CHF,EU,0.87956,60
frankfurter,CHF,EU,0.88,60
stooq_fx,CHF,PL,0.88044,60
ecb,AUD,EU,1.51924,60
frankfurter,AUD,EU,1.52,60
stooq_fx,AUD,PL,1.52076,60
ecb,CAD,EU,1.37931,60
frankfurter,CAD,EU,1.38,60
stooq_fx,CAD,PL,1.38069,60
ecb,HKD,EU,7.786105,60
frankfurter,HKD,EU,7.79,60
stooq_fx,HKD,PL,7.793895,60
ecb,SGD,EU,1.33933,60
frankfurter,SGD,EU,1.34,60
stooq_fx,SGD,PL,1.34067,60
